strategy,model,budget,metric,value
learned,attention_780_v3,128,detection.social_history.precision,0.11666666666666667
learned,attention_780_v3,128,detection.social_history.recall,0.04666666666666667
learned,attention_780_v3,128,detection.social_history.f1,0.05409090909090909
learned,attention_780_v3,128,detection.follow_up.precision,0.15
learned,attention_780_v3,128,detection.follow_up.recall,0.09166666666666666
learned,attention_780_v3,128,detection.follow_up.f1,0.10833333333333332
learned,attention_780_v3,128,detection.question.precision,0.7374598195921725
learned,attention_780_v3,128,detection.question.recall,0.8450104062604062
learned,attention_780_v3,128,detection.question.f1,0.7600851212770717
learned,attention_780_v3,128,detection.question_unanswered.precision,0.0
learned,attention_780_v3,128,detection.question_unanswered.recall,0.0
learned,attention_780_v3,128,detection.question_unanswered.f1,0.0
learned,attention_780_v3,128,detection.irrelevant.precision,0.7448548114059335
learned,attention_780_v3,128,detection.irrelevant.recall,0.7710108946468766
learned,attention_780_v3,128,detection.irrelevant.f1,0.7397725640130199
learned,attention_780_v3,128,detection.macro_avg.precision,0.42668002994570814
learned,attention_780_v3,128,detection.macro_avg.recall,0.43666839245936717
learned,attention_780_v3,128,detection.macro_avg.f1,0.4150442770429456
learned,attention_780_v3,128,agenda_completeness,0.37916666666666665
learned,attention_780_v3,128,hardware.avg_latency_ms,226.79312351474331
learned,attention_780_v3,128,hardware.total_relevant,25.15
learned,attention_780_v3,128,hardware.final_buffer_size,5.75
learned,attention_780_v3,128,hardware.final_buffer_tokens,117.3
learned,attention_780_v3,256,n_conversations,20.0
learned,attention_780_v3,256,elapsed_sec,209.8
learned,attention_780_v3,256,rouge.rouge1,0.6728570598044918
learned,attention_780_v3,256,rouge.rouge2,0.47640521105076133
learned,attention_780_v3,256,rouge.rougeL,0.6471569460274302
learned,attention_780_v3,256,bertscore,0.8662363439798355
learned,attention_780_v3,256,detection.agenda_item.precision,0.575
learned,attention_780_v3,256,detection.agenda_item.recall,0.525
learned,attention_780_v3,256,detection.agenda_item.f1,0.5405952380952381
learned,attention_780_v3,256,detection.detail.precision,0.6983266003002846
learned,attention_780_v3,256,detection.detail.recall,0.7471090287234788
learned,attention_780_v3,256,detection.detail.f1,0.7054135819266237
learned,attention_780_v3,256,detection.medication.precision,0.5083333333333333
learned,attention_780_v3,256,detection.medication.recall,0.4416666666666667
learned,attention_780_v3,256,detection.medication.f1,0.4533333333333333
learned,attention_780_v3,256,detection.social_history.precision,0.1
learned,attention_780_v3,256,detection.social_history.recall,0.021666666666666667
learned,attention_780_v3,256,detection.social_history.f1,0.034090909090909095
learned,attention_780_v3,256,detection.follow_up.precision,0.1
learned,attention_780_v3,256,detection.follow_up.recall,0.06666666666666667
learned,attention_780_v3,256,detection.follow_up.f1,0.075
learned,attention_780_v3,256,detection.question.precision,0.7554656536274182
learned,attention_780_v3,256,detection.question.recall,0.8333071095571096
learned,attention_780_v3,256,detection.question.f1,0.7617812821229235
learned,attention_780_v3,256,detection.question_unanswered.precision,0.0
learned,attention_780_v3,256,detection.question_unanswered.recall,0.0
learned,attention_780_v3,256,detection.question_unanswered.f1,0.0
learned,attention_780_v3,256,detection.irrelevant.precision,0.7282984024814791
learned,attention_780_v3,256,detection.irrelevant.recall,0.7720838095282965
learned,attention_780_v3,256,detection.irrelevant.f1,0.7367656694991869
learned,attention_780_v3,256,detection.macro_avg.precision,0.43317799871781437
learned,attention_780_v3,256,detection.macro_avg.recall,0.4259374934761106
learned,attention_780_v3,256,detection.macro_avg.f1,0.41337250175852686
learned,attention_780_v3,256,agenda_completeness,0.35416666666666663
learned,attention_780_v3,256,hardware.avg_latency_ms,206.577915378773
learned,attention_780_v3,256,hardware.total_relevant,23.4
learned,attention_780_v3,256,hardware.final_buffer_size,13.75
learned,attention_780_v3,256,hardware.final_buffer_tokens,248.9
