strategy,model,budget,metric,value
fifo,baseline,512,detection.irrelevant.recall,0.7011459782630646
fifo,baseline,512,detection.irrelevant.f1,0.7213259479714347
fifo,baseline,512,detection.macro_avg.precision,0.34255867380908633
fifo,baseline,512,detection.macro_avg.recall,0.36790913699490446
fifo,baseline,512,detection.macro_avg.f1,0.340304570117725
fifo,baseline,512,agenda_completeness,0.3
fifo,baseline,512,hardware.avg_latency_ms,147.58183093730108
fifo,baseline,512,hardware.total_relevant,27.2
fifo,baseline,512,hardware.final_buffer_size,30.75
fifo,baseline,512,hardware.final_buffer_tokens,435.8
sliding,baseline,128,n_conversations,20.0
sliding,baseline,128,elapsed_sec,94.2
sliding,baseline,128,rouge.rouge1,0.6809666719912515
sliding,baseline,128,rouge.rouge2,0.49822677554544825
sliding,baseline,128,rouge.rougeL,0.6558022629498893
sliding,baseline,128,bertscore,0.8718912124633789
sliding,baseline,128,detection.agenda_item.precision,0.33333333333333337
sliding,baseline,128,detection.agenda_item.recall,0.3125
sliding,baseline,128,detection.agenda_item.f1,0.30460317460317465
sliding,baseline,128,detection.detail.precision,0.648254121930433
sliding,baseline,128,detection.detail.recall,0.9041745321316933
sliding,baseline,128,detection.detail.f1,0.739631058246075
sliding,baseline,128,detection.medication.precision,0.275
sliding,baseline,128,detection.medication.recall,0.18333333333333332
sliding,baseline,128,detection.medication.f1,0.2
sliding,baseline,128,detection.social_history.precision,0.0
sliding,baseline,128,detection.social_history.recall,0.0
sliding,baseline,128,detection.social_history.f1,0.0
sliding,baseline,128,detection.follow_up.precision,0.0
sliding,baseline,128,detection.follow_up.recall,0.0
sliding,baseline,128,detection.follow_up.f1,0.0
sliding,baseline,128,detection.question.precision,0.669360411690133
sliding,baseline,128,detection.question.recall,0.8636215173715174
sliding,baseline,128,detection.question.f1,0.7284630902515153
sliding,baseline,128,detection.question_unanswered.precision,0.0
sliding,baseline,128,detection.question_unanswered.recall,0.0
sliding,baseline,128,detection.question_unanswered.f1,0.0
sliding,baseline,128,detection.irrelevant.precision,0.7791726831189566
sliding,baseline,128,detection.irrelevant.recall,0.6765706236640704
sliding,baseline,128,detection.irrelevant.f1,0.7163030425674525
sliding,baseline,128,detection.macro_avg.precision,0.338140068759107
sliding,baseline,128,detection.macro_avg.recall,0.3675250008125768
sliding,baseline,128,detection.macro_avg.f1,0.3361250457085272
sliding,baseline,128,agenda_completeness,0.3583333333333333
sliding,baseline,128,hardware.avg_latency_ms,250.71249975196707
sliding,baseline,128,hardware.total_relevant,28.35
sliding,baseline,128,hardware.final_buffer_size,8.6
sliding,baseline,128,hardware.final_buffer_tokens,116.4
sliding,baseline,256,n_conversations,20.0
sliding,baseline,256,elapsed_sec,176.3
sliding,baseline,256,rouge.rouge1,0.6920881410208239
sliding,baseline,256,rouge.rouge2,0.5082268180539924
sliding,baseline,256,rouge.rougeL,0.6682033499181951
sliding,baseline,256,bertscore,0.8773582488298416
sliding,baseline,256,detection.agenda_item.precision,0.3217857142857143
sliding,baseline,256,detection.agenda_item.recall,0.325
sliding,baseline,256,detection.agenda_item.f1,0.30559523809523814
sliding,baseline,256,detection.detail.precision,0.6464195420826906
sliding,baseline,256,detection.detail.recall,0.8927658019729631
sliding,baseline,256,detection.detail.f1,0.7357359822432691
sliding,baseline,256,detection.medication.precision,0.35
sliding,baseline,256,detection.medication.recall,0.2833333333333333
sliding,baseline,256,detection.medication.f1,0.2833333333333333
sliding,baseline,256,detection.social_history.precision,0.0
sliding,baseline,256,detection.social_history.recall,0.0
sliding,baseline,256,detection.social_history.f1,0.0
sliding,baseline,256,detection.follow_up.precision,0.025
sliding,baseline,256,detection.follow_up.recall,0.05
sliding,baseline,256,detection.follow_up.f1,0.03333333333333333
sliding,baseline,256,detection.question.precision,0.6811107519931049
sliding,baseline,256,detection.question.recall,0.883304057054057
sliding,baseline,256,detection.question.f1,0.7429332844879635
sliding,baseline,256,detection.question_unanswered.precision,0.0
sliding,baseline,256,detection.question_unanswered.recall,0.0
sliding,baseline,256,detection.question_unanswered.f1,0.0
sliding,baseline,256,detection.irrelevant.precision,0.807465102574005
sliding,baseline,256,detection.irrelevant.recall,0.6812051666462617
sliding,baseline,256,detection.irrelevant.f1,0.7246334825614358
sliding,baseline,256,detection.macro_avg.precision,0.35397263886693936
