strategy,model,budget,metric,value
fifo,baseline,256,rouge.rougeL,0.6520243047598066
fifo,baseline,256,bertscore,0.8713642120361328
fifo,baseline,256,detection.agenda_item.precision,0.3158333333333333
fifo,baseline,256,detection.agenda_item.recall,0.275
fifo,baseline,256,detection.agenda_item.f1,0.27785714285714286
fifo,baseline,256,detection.detail.precision,0.6526015468671869
fifo,baseline,256,detection.detail.recall,0.8722494953185491
fifo,baseline,256,detection.detail.f1,0.7307601583062453
fifo,baseline,256,detection.medication.precision,0.35
fifo,baseline,256,detection.medication.recall,0.30833333333333335
fifo,baseline,256,detection.medication.f1,0.315
fifo,baseline,256,detection.social_history.precision,0.0
fifo,baseline,256,detection.social_history.recall,0.0
fifo,baseline,256,detection.social_history.f1,0.0
fifo,baseline,256,detection.follow_up.precision,0.0
fifo,baseline,256,detection.follow_up.recall,0.0
fifo,baseline,256,detection.follow_up.f1,0.0
fifo,baseline,256,detection.question.precision,0.7151277072600603
fifo,baseline,256,detection.question.recall,0.8576325063825063
fifo,baseline,256,detection.question.f1,0.7528606909831448
fifo,baseline,256,detection.question_unanswered.precision,0.0
fifo,baseline,256,detection.question_unanswered.recall,0.0
fifo,baseline,256,detection.question_unanswered.f1,0.0
fifo,baseline,256,detection.irrelevant.precision,0.782774057924383
fifo,baseline,256,detection.irrelevant.recall,0.7202486153586831
fifo,baseline,256,detection.irrelevant.f1,0.7359867694837001
fifo,baseline,256,detection.macro_avg.precision,0.3520420806731204
fifo,baseline,256,detection.macro_avg.recall,0.379182993799134
fifo,baseline,256,detection.macro_avg.f1,0.3515580952037792
fifo,baseline,256,agenda_completeness,0.32083333333333336
fifo,baseline,256,hardware.avg_latency_ms,220.62591525889084
fifo,baseline,256,hardware.total_relevant,27.05
fifo,baseline,256,hardware.final_buffer_size,17.8
fifo,baseline,256,hardware.final_buffer_tokens,249.25
sliding,baseline,64,n_conversations,20.0
sliding,baseline,64,elapsed_sec,32.7
sliding,baseline,64,rouge.rouge1,0.6809470612006553
sliding,baseline,64,rouge.rouge2,0.48691230641229344
sliding,baseline,64,rouge.rougeL,0.6521683037117352
sliding,baseline,64,bertscore,0.8725844889879226
sliding,baseline,64,detection.agenda_item.precision,0.3516666666666667
sliding,baseline,64,detection.agenda_item.recall,0.36666666666666664
sliding,baseline,64,detection.agenda_item.f1,0.34178571428571425
sliding,baseline,64,detection.detail.precision,0.6063690201342911
sliding,baseline,64,detection.detail.recall,0.9446362603012218
sliding,baseline,64,detection.detail.f1,0.7229824754940367
sliding,baseline,64,detection.medication.precision,0.25
sliding,baseline,64,detection.medication.recall,0.15
sliding,baseline,64,detection.medication.f1,0.18166666666666667
sliding,baseline,64,detection.social_history.precision,0.0
sliding,baseline,64,detection.social_history.recall,0.0
sliding,baseline,64,detection.social_history.f1,0.0
sliding,baseline,64,detection.follow_up.precision,0.0
sliding,baseline,64,detection.follow_up.recall,0.0
sliding,baseline,64,detection.follow_up.f1,0.0
sliding,baseline,64,detection.question.precision,0.6515730103230103
sliding,baseline,64,detection.question.recall,0.9360192585192586
sliding,baseline,64,detection.question.f1,0.7436597975440231
sliding,baseline,64,detection.question_unanswered.precision,0.0
sliding,baseline,64,detection.question_unanswered.recall,0.0
sliding,baseline,64,detection.question_unanswered.f1,0.0
sliding,baseline,64,detection.irrelevant.precision,0.8498020128862521
sliding,baseline,64,detection.irrelevant.recall,0.6128266236418123
sliding,baseline,64,detection.irrelevant.f1,0.6953259293532056
sliding,baseline,64,detection.macro_avg.precision,0.3386763387512775
sliding,baseline,64,detection.macro_avg.recall,0.37626860114111993
sliding,baseline,64,detection.macro_avg.f1,0.3356775729179558
sliding,baseline,64,agenda_completeness,0.3458333333333333
sliding,baseline,64,hardware.avg_latency_ms,332.3954292188853
sliding,baseline,64,hardware.total_relevant,32.5
sliding,baseline,64,hardware.final_buffer_size,4.45
sliding,baseline,64,hardware.final_buffer_tokens,54.0
sliding,baseline,100,n_conversations,20.0
sliding,baseline,100,elapsed_sec,32.2
sliding,baseline,100,rouge.rouge1,0.6757038782473106
sliding,baseline,100,rouge.rouge2,0.48324306338103584
sliding,baseline,100,rouge.rougeL,0.6493667609936764
sliding,baseline,100,bertscore,0.8713725209236145
sliding,baseline,100,detection.agenda_item.precision,0.345
sliding,baseline,100,detection.agenda_item.recall,0.3458333333333333
sliding,baseline,100,detection.agenda_item.f1,0.33404761904761904
sliding,baseline,100,detection.detail.precision,0.6311505194507113
sliding,baseline,100,detection.detail.recall,0.9176051942516137
sliding,baseline,100,detection.detail.f1,0.7333843598056046
sliding,baseline,100,detection.medication.precision,0.325
sliding,baseline,100,detection.medication.recall,0.25833333333333336
sliding,baseline,100,detection.medication.f1,0.26666666666666666
sliding,baseline,100,detection.social_history.precision,0.0
sliding,baseline,100,detection.social_history.recall,0.0
sliding,baseline,100,detection.social_history.f1,0.0
sliding,baseline,100,detection.follow_up.precision,0.0
sliding,baseline,100,detection.follow_up.recall,0.0
sliding,baseline,100,detection.follow_up.f1,0.0
sliding,baseline,100,detection.question.precision,0.6717866331295124
sliding,baseline,100,detection.question.recall,0.914474691974692
sliding,baseline,100,detection.question.f1,0.7488548828636693
sliding,baseline,100,detection.question_unanswered.precision,0.0
sliding,baseline,100,detection.question_unanswered.recall,0.0
sliding,baseline,100,detection.question_unanswered.f1,0.0
sliding,baseline,100,detection.irrelevant.precision,0.8269563113337993
sliding,baseline,100,detection.irrelevant.recall,0.667843807704281
sliding,baseline,100,detection.irrelevant.f1,0.7233442953410526
